FCI gs energy -3.000000 
FCI gs wfn 
01 0.707106781187 0.000000000000 I 
10 -0.707106781187 -0.000000000000 I 
FCI ITE
0.000000 -1.000000 4.000000 0.721103 
0.010000 -1.079957 3.993607 0.734789 
0.020000 -1.159660 3.974509 0.748140 
0.030000 -1.238855 3.942948 0.761134 
0.040000 -1.317297 3.899323 0.773749 
0.050000 -1.394751 3.844172 0.785969 
0.060000 -1.470991 3.778167 0.797780 
0.070000 -1.545810 3.702091 0.809168 
0.080000 -1.619014 3.616822 0.820126 
0.090000 -1.690428 3.523309 0.830647 
0.100000 -1.759898 3.422555 0.840727 
0.110000 -1.827289 3.315593 0.850366 
0.120000 -1.892487 3.203467 0.859564 
0.130000 -1.955400 3.087211 0.868325 
0.140000 -2.015955 2.967836 0.876655 
0.150000 -2.074099 2.846311 0.884562 
0.160000 -2.129799 2.723554 0.892054 
0.170000 -2.183039 2.600419 0.899141 
0.180000 -2.233819 2.477692 0.905836 
0.190000 -2.282154 2.356081 0.912150 
0.200000 -2.328074 2.236221 0.918098 
0.210000 -2.371618 2.118664 0.923693 
0.220000 -2.412839 2.003887 0.928950 
0.230000 -2.451795 1.892292 0.933884 
0.240000 -2.488554 1.784208 0.938508 
0.250000 -2.523188 1.679897 0.942838 
0.260000 -2.555776 1.579561 0.946889 
0.270000 -2.586398 1.483341 0.950676 
0.280000 -2.615138 1.391330 0.954212 
0.290000 -2.642080 1.303574 0.957511 
0.300000 -2.667309 1.220080 0.960587 
0.310000 -2.690911 1.140819 0.963453 
0.320000 -2.712970 1.065734 0.966122 
0.330000 -2.733568 0.994742 0.968605 
0.340000 -2.752786 0.927741 0.970915 
0.350000 -2.770703 0.864610 0.973062 
0.360000 -2.787395 0.805217 0.975056 
0.370000 -2.802936 0.749422 0.976908 
0.380000 -2.817395 0.697074 0.978627 
0.390000 -2.830841 0.648022 0.980222 
0.400000 -2.843337 0.602108 0.981701 
0.410000 -2.854945 0.559179 0.983072 
0.420000 -2.865723 0.519077 0.984343 
0.430000 -2.875726 0.481652 0.985521 
0.440000 -2.885006 0.446752 0.986612 
0.450000 -2.893612 0.414233 0.987622 
0.460000 -2.901590 0.383954 0.988558 
0.470000 -2.908984 0.355779 0.989423 
0.480000 -2.915835 0.329578 0.990225 
0.490000 -2.922180 0.305225 0.990966 
0.500000 -2.928055 0.282603 0.991652 
0.510000 -2.933495 0.261599 0.992286 
0.520000 -2.938529 0.242105 0.992873 
0.530000 -2.943188 0.224020 0.993416 
0.540000 -2.947499 0.207249 0.993917 
0.550000 -2.951486 0.191701 0.994381 
0.560000 -2.955174 0.177293 0.994810 
0.570000 -2.958585 0.163945 0.995206 
0.580000 -2.961739 0.151581 0.995572 
0.590000 -2.964654 0.140133 0.995910 
0.600000 -2.967350 0.129535 0.996223 
0.610000 -2.969841 0.119726 0.996512 
0.620000 -2.972144 0.110649 0.996779 
0.630000 -2.974272 0.102252 0.997025 
0.640000 -2.976238 0.094484 0.997253 
0.650000 -2.978055 0.087299 0.997463 
0.660000 -2.979733 0.080655 0.997658 
0.670000 -2.981284 0.074512 0.997837 
0.680000 -2.982717 0.068833 0.998003 
0.690000 -2.984041 0.063583 0.998156 
0.700000 -2.985263 0.058731 0.998298 
0.710000 -2.986392 0.054246 0.998428 
0.720000 -2.987435 0.050102 0.998549 
0.730000 -2.988398 0.046272 0.998660 
0.740000 -2.989288 0.042733 0.998763 
0.750000 -2.990110 0.039464 0.998858 
0.760000 -2.990868 0.036444 0.998946 
0.770000 -2.991569 0.033654 0.999026 
0.780000 -2.992216 0.031076 0.999101 
0.790000 -2.992813 0.028696 0.999170 
0.800000 -2.993365 0.026497 0.999234 
0.810000 -2.993874 0.024466 0.999293 
0.820000 -2.994344 0.022590 0.999347 
0.830000 -2.994779 0.020858 0.999397 
0.840000 -2.995180 0.019258 0.999444 
0.850000 -2.995550 0.017781 0.999486 
0.860000 -2.995892 0.016417 0.999526 
0.870000 -2.996207 0.015157 0.999562 
0.880000 -2.996499 0.013993 0.999596 
0.890000 -2.996768 0.012919 0.999627 
0.900000 -2.997016 0.011928 0.999656 
0.910000 -2.997245 0.011012 0.999682 
0.920000 -2.997457 0.010166 0.999706 
0.930000 -2.997652 0.009386 0.999729 
0.940000 -2.997833 0.008665 0.999750 
0.950000 -2.997999 0.007999 0.999769 
0.960000 -2.998153 0.007385 0.999787 
0.970000 -2.998295 0.006817 0.999803 
0.980000 -2.998426 0.006294 0.999818 
0.990000 -2.998547 0.005810 0.999832 
