FCI gs energy -3.333333 
FCI gs wfn 
0011 -0.288675134595 0.000000000000 I 
0101 0.577350269190 0.000000000000 I 
0110 -0.288675134595 0.000000000000 I 
1001 -0.288675134595 0.000000000000 I 
1010 0.577350269190 0.000000000000 I 
1100 -0.288675134595 0.000000000000 I 
FCI ITE
0.000000 -1.333333 4.000000 0.588781 
0.010000 -1.411734 3.840207 0.599977 
0.020000 -1.486950 3.681609 0.610936 
0.030000 -1.559014 3.525264 0.621657 
0.040000 -1.627981 3.372079 0.632139 
0.050000 -1.693923 3.222817 0.642384 
0.060000 -1.756924 3.078095 0.652393 
0.070000 -1.817081 2.938402 0.662169 
0.080000 -1.874496 2.804102 0.671714 
0.090000 -1.929282 2.675449 0.681033 
0.100000 -1.981553 2.552596 0.690128 
0.110000 -2.031425 2.435614 0.699004 
0.120000 -2.079017 2.324495 0.707664 
0.130000 -2.124444 2.219171 0.716115 
0.140000 -2.167821 2.119522 0.724359 
0.150000 -2.209261 2.025385 0.732401 
0.160000 -2.248872 1.936565 0.740245 
0.170000 -2.286758 1.852842 0.747897 
0.180000 -2.323018 1.773978 0.755359 
0.190000 -2.357748 1.699724 0.762636 
0.200000 -2.391036 1.629825 0.769733 
0.210000 -2.422968 1.564023 0.776652 
0.220000 -2.453623 1.502062 0.783399 
0.230000 -2.483075 1.443694 0.789976 
0.240000 -2.511393 1.388673 0.796386 
0.250000 -2.538642 1.336766 0.802634 
0.260000 -2.564883 1.287749 0.808723 
0.270000 -2.590170 1.241409 0.814656 
0.280000 -2.614556 1.197544 0.820435 
0.290000 -2.638087 1.155968 0.826065 
0.300000 -2.660808 1.116503 0.831547 
0.310000 -2.682760 1.078986 0.836885 
0.320000 -2.703980 1.043265 0.842082 
0.330000 -2.724502 1.009200 0.847140 
0.340000 -2.744358 0.976662 0.852062 
0.350000 -2.763578 0.945533 0.856850 
0.360000 -2.782188 0.915706 0.861507 
0.370000 -2.800214 0.887081 0.866037 
0.380000 -2.817679 0.859571 0.870440 
0.390000 -2.834604 0.833093 0.874720 
0.400000 -2.851009 0.807575 0.878879 
0.410000 -2.866913 0.782950 0.882919 
0.420000 -2.882332 0.759159 0.886843 
0.430000 -2.897284 0.736149 0.890654 
0.440000 -2.911783 0.713872 0.894353 
0.450000 -2.925844 0.692284 0.897944 
0.460000 -2.939479 0.671347 0.901427 
0.470000 -2.952702 0.651027 0.904807 
0.480000 -2.965524 0.631292 0.908084 
0.490000 -2.977957 0.612116 0.911262 
0.500000 -2.990012 0.593473 0.914342 
0.510000 -3.001699 0.575342 0.917327 
0.520000 -3.013029 0.557703 0.920219 
0.530000 -3.024011 0.540538 0.923021 
0.540000 -3.034654 0.523831 0.925734 
0.550000 -3.044967 0.507568 0.928360 
0.560000 -3.054959 0.491735 0.930903 
0.570000 -3.064639 0.476320 0.933364 
0.580000 -3.074015 0.461313 0.935744 
0.590000 -3.083094 0.446704 0.938047 
0.600000 -3.091885 0.432482 0.940275 
0.610000 -3.100396 0.418640 0.942429 
0.620000 -3.108633 0.405169 0.944511 
0.630000 -3.116605 0.392061 0.946523 
0.640000 -3.124318 0.379309 0.948468 
0.650000 -3.131780 0.366906 0.950347 
0.660000 -3.138997 0.354845 0.952163 
0.670000 -3.145976 0.343119 0.953916 
0.680000 -3.152724 0.331721 0.955609 
0.690000 -3.159247 0.320645 0.957244 
0.700000 -3.165552 0.309885 0.958822 
0.710000 -3.171644 0.299435 0.960345 
0.720000 -3.177531 0.289288 0.961815 
0.730000 -3.183218 0.279438 0.963233 
0.740000 -3.188711 0.269879 0.964601 
0.750000 -3.194015 0.260605 0.965921 
0.760000 -3.199137 0.251610 0.967194 
0.770000 -3.204081 0.242888 0.968422 
0.780000 -3.208854 0.234433 0.969606 
0.790000 -3.213460 0.226238 0.970747 
0.800000 -3.217905 0.218299 0.971847 
0.810000 -3.222194 0.210608 0.972908 
0.820000 -3.226331 0.203160 0.973930 
0.830000 -3.230322 0.195950 0.974915 
0.840000 -3.234171 0.188970 0.975864 
0.850000 -3.237882 0.182216 0.976778 
0.860000 -3.241461 0.175682 0.977659 
0.870000 -3.244911 0.169362 0.978507 
0.880000 -3.248237 0.163250 0.979324 
0.890000 -3.251442 0.157341 0.980112 
0.900000 -3.254532 0.151629 0.980870 
0.910000 -3.257509 0.146109 0.981599 
0.920000 -3.260377 0.140775 0.982302 
0.930000 -3.263141 0.135623 0.982979 
0.940000 -3.265803 0.130646 0.983630 
0.950000 -3.268368 0.125841 0.984257 
0.960000 -3.270838 0.121201 0.984861 
0.970000 -3.273217 0.116721 0.985441 
0.980000 -3.275508 0.112398 0.986000 
0.990000 -3.277714 0.108226 0.986539 
1.000000 -3.279838 0.104201 0.987056 
1.010000 -3.281883 0.100318 0.987554 
1.020000 -3.283851 0.096572 0.988034 
1.030000 -3.285747 0.092959 0.988495 
1.040000 -3.287571 0.089476 0.988939 
1.050000 -3.289326 0.086117 0.989366 
1.060000 -3.291016 0.082879 0.989776 
1.070000 -3.292642 0.079757 0.990171 
1.080000 -3.294207 0.076749 0.990551 
1.090000 -3.295713 0.073850 0.990917 
1.100000 -3.297162 0.071056 0.991268 
1.110000 -3.298556 0.068365 0.991606 
1.120000 -3.299897 0.065772 0.991932 
1.130000 -3.301187 0.063274 0.992244 
1.140000 -3.302429 0.060868 0.992545 
1.150000 -3.303623 0.058550 0.992834 
1.160000 -3.304771 0.056319 0.993112 
1.170000 -3.305876 0.054170 0.993380 
1.180000 -3.306939 0.052101 0.993637 
1.190000 -3.307961 0.050109 0.993884 
1.200000 -3.308944 0.048191 0.994122 
1.210000 -3.309889 0.046345 0.994350 
1.220000 -3.310798 0.044568 0.994570 
1.230000 -3.311672 0.042858 0.994781 
1.240000 -3.312513 0.041212 0.994984 
1.250000 -3.313321 0.039628 0.995180 
1.260000 -3.314098 0.038104 0.995367 
1.270000 -3.314845 0.036637 0.995548 
1.280000 -3.315564 0.035226 0.995721 
1.290000 -3.316255 0.033868 0.995888 
1.300000 -3.316919 0.032561 0.996048 
1.310000 -3.317558 0.031304 0.996202 
1.320000 -3.318171 0.030095 0.996350 
1.330000 -3.318762 0.028932 0.996493 
1.340000 -3.319329 0.027814 0.996630 
1.350000 -3.319874 0.026738 0.996761 
1.360000 -3.320399 0.025703 0.996888 
1.370000 -3.320903 0.024707 0.997009 
1.380000 -3.321387 0.023750 0.997126 
1.390000 -3.321853 0.022829 0.997238 
1.400000 -3.322301 0.021944 0.997346 
1.410000 -3.322731 0.021093 0.997450 
1.420000 -3.323145 0.020274 0.997549 
1.430000 -3.323542 0.019487 0.997645 
1.440000 -3.323924 0.018730 0.997737 
1.450000 -3.324292 0.018002 0.997825 
1.460000 -3.324645 0.017302 0.997910 
1.470000 -3.324984 0.016629 0.997992 
1.480000 -3.325310 0.015983 0.998071 
1.490000 -3.325623 0.015361 0.998146 
1.500000 -3.325925 0.014763 0.998219 
1.510000 -3.326214 0.014188 0.998288 
1.520000 -3.326492 0.013636 0.998355 
1.530000 -3.326760 0.013104 0.998420 
1.540000 -3.327017 0.012594 0.998481 
1.550000 -3.327263 0.012103 0.998541 
1.560000 -3.327501 0.011631 0.998598 
1.570000 -3.327729 0.011178 0.998653 
1.580000 -3.327948 0.010742 0.998705 
1.590000 -3.328159 0.010323 0.998756 
1.600000 -3.328361 0.009920 0.998805 
