FCI gs energy -5.000000 
FCI gs wfn 
000110 1.000000000000 0.000000000000 I 
QITE
0.000000 -3.000000 1.500000 0.093750 
0.010000 -3.029849 1.484853 0.097547 
0.020000 -3.059393 1.469411 0.101432 
0.030000 -3.088628 1.453702 0.105405 
0.040000 -3.117548 1.437755 0.109465 
0.050000 -3.146149 1.421597 0.113612 
0.060000 -3.174427 1.405255 0.117844 
0.070000 -3.202379 1.388752 0.122159 
0.080000 -3.230006 1.372096 0.126556 
0.090000 -3.257302 1.355336 0.131035 
0.100000 -3.284263 1.338460 0.135590 
0.110000 -3.310889 1.321801 0.140292 
0.120000 -3.337183 1.305119 0.145079 
0.130000 -3.363145 1.288432 0.149951 
0.140000 -3.388775 1.271758 0.154905 
0.150000 -3.414073 1.255112 0.159940 
0.160000 -3.439042 1.238501 0.165053 
0.170000 -3.463686 1.221932 0.170244 
0.180000 -3.488002 1.205441 0.175513 
0.190000 -3.511990 1.189035 0.180856 
0.200000 -3.535646 1.172737 0.186270 
0.210000 -3.558960 1.156525 0.191768 
0.220000 -3.581952 1.140431 0.197336 
0.230000 -3.604625 1.124464 0.202971 
0.240000 -3.626983 1.108630 0.208672 
0.250000 -3.649027 1.092936 0.214437 
0.260000 -3.670761 1.077385 0.220264 
0.270000 -3.692193 1.061971 0.226150 
0.280000 -3.713323 1.046703 0.232093 
0.290000 -3.734143 1.031616 0.238092 
0.300000 -3.754665 1.016686 0.244143 
0.310000 -3.774872 1.001902 0.250257 
0.320000 -3.794787 0.987290 0.256421 
0.330000 -3.814414 0.972853 0.262632 
0.340000 -3.833757 0.958590 0.268888 
0.350000 -3.852818 0.944502 0.275187 
0.360000 -3.871602 0.930588 0.281527 
0.370000 -3.890116 0.916841 0.287904 
0.380000 -3.908357 0.903268 0.294317 
0.390000 -3.926335 0.889865 0.300765 
0.400000 -3.944044 0.876645 0.307244 
0.410000 -3.961464 0.863572 0.313755 
0.420000 -3.978628 0.850677 0.320293 
0.430000 -3.995538 0.837958 0.326856 
0.440000 -4.012198 0.825411 0.333443 
0.450000 -4.028613 0.813036 0.340050 
0.460000 -4.044785 0.800829 0.346676 
0.470000 -4.060720 0.788781 0.353318 
0.480000 -4.076423 0.776889 0.359974 
0.490000 -4.091886 0.765177 0.366642 
0.500000 -4.107119 0.753624 0.373320 
0.510000 -4.122090 0.742202 0.379996 
0.520000 -4.136838 0.730942 0.386678 
0.530000 -4.151366 0.719840 0.393365 
0.540000 -4.165677 0.708895 0.400053 
0.550000 -4.179775 0.698102 0.406741 
0.560000 -4.193662 0.687460 0.413428 
0.570000 -4.207344 0.676960 0.420111 
0.580000 -4.220818 0.666611 0.426788 
0.590000 -4.234092 0.656403 0.433457 
0.600000 -4.247165 0.646339 0.440117 
0.610000 -4.260000 0.636380 0.446741 
0.620000 -4.272642 0.626562 0.453352 
0.630000 -4.285093 0.616883 0.459949 
0.640000 -4.297357 0.607341 0.466529 
0.650000 -4.309435 0.597932 0.473092 
0.660000 -4.321330 0.588654 0.479635 
0.670000 -4.333046 0.579505 0.486158 
0.680000 -4.344585 0.570482 0.492658 
0.690000 -4.355948 0.561584 0.499133 
0.700000 -4.367138 0.552810 0.505583 
0.710000 -4.378111 0.544124 0.511970 
0.720000 -4.388917 0.535561 0.518328 
0.730000 -4.399558 0.527120 0.524657 
0.740000 -4.410036 0.518797 0.530956 
0.750000 -4.420354 0.510591 0.537223 
0.760000 -4.430514 0.502500 0.543457 
0.770000 -4.440517 0.494521 0.549657 
0.780000 -4.450368 0.486651 0.555821 
0.790000 -4.460065 0.478893 0.561948 
0.800000 -4.469611 0.471243 0.568038 
0.810000 -4.478959 0.463674 0.574041 
0.820000 -4.488162 0.456212 0.580006 
0.830000 -4.497222 0.448857 0.585931 
0.840000 -4.506142 0.441607 0.591816 
0.850000 -4.514923 0.434460 0.597659 
0.860000 -4.523567 0.427415 0.603460 
0.870000 -4.532075 0.420468 0.609218 
0.880000 -4.540449 0.413621 0.614931 
0.890000 -4.548671 0.406859 0.620578 
0.900000 -4.556762 0.400196 0.626179 
0.910000 -4.564698 0.393614 0.631703 
0.920000 -4.572508 0.387127 0.637181 
0.930000 -4.580196 0.380734 0.642613 
0.940000 -4.587762 0.374434 0.647998 
0.950000 -4.595208 0.368224 0.653336 
0.960000 -4.602535 0.362105 0.658625 
0.970000 -4.609729 0.356070 0.663849 
0.980000 -4.616794 0.350112 0.669007 
0.990000 -4.623746 0.344245 0.674115 
1.000000 -4.630586 0.338463 0.679176 
1.010000 -4.637295 0.332764 0.684164 
1.020000 -4.643897 0.327150 0.689103 
1.030000 -4.650393 0.321620 0.693994 
1.040000 -4.656784 0.316171 0.698834 
1.050000 -4.663071 0.310804 0.703625 
1.060000 -4.669255 0.305518 0.708364 
1.070000 -4.675311 0.300302 0.713020 
1.080000 -4.681271 0.295163 0.717628 
1.090000 -4.687134 0.290102 0.722186 
1.100000 -4.692900 0.285119 0.726694 
1.110000 -4.698551 0.280209 0.731129 
1.120000 -4.704111 0.275374 0.735514 
1.130000 -4.709580 0.270612 0.739850 
1.140000 -4.714958 0.265924 0.744136 
1.150000 -4.720239 0.261305 0.748361 
1.160000 -4.725422 0.256757 0.752523 
1.170000 -4.730519 0.252278 0.756637 
1.180000 -4.735533 0.247869 0.760702 
1.190000 -4.740454 0.243527 0.764707 
1.200000 -4.745285 0.239253 0.768653 
1.210000 -4.750027 0.235047 0.772542 
1.220000 -4.754690 0.230906 0.776383 
1.230000 -4.759277 0.226831 0.780176 
1.240000 -4.763786 0.222820 0.783921 
1.250000 -4.768202 0.218872 0.787599 
1.260000 -4.772546 0.214986 0.791230 
1.270000 -4.776817 0.211162 0.794815 
1.280000 -4.781015 0.207399 0.798352 
1.290000 -4.785127 0.203696 0.801824 
1.300000 -4.789170 0.200053 0.805251 
1.310000 -4.793135 0.196469 0.808621 
1.320000 -4.797034 0.192944 0.811947 
1.330000 -4.800866 0.189475 0.815229 
1.340000 -4.804622 0.186063 0.818452 
1.350000 -4.808314 0.182707 0.821631 
1.360000 -4.811940 0.179405 0.824763 
1.370000 -4.815499 0.176159 0.827845 
1.380000 -4.818998 0.172965 0.830884 
1.390000 -4.822431 0.169824 0.833875 
1.400000 -4.825800 0.166735 0.836817 
1.410000 -4.829105 0.163700 0.839710 
1.420000 -4.832354 0.160714 0.842563 
1.430000 -4.835543 0.157778 0.845371 
1.440000 -4.838671 0.154892 0.848131 
1.450000 -4.841744 0.152055 0.850849 
1.460000 -4.844760 0.149265 0.853524 
1.470000 -4.847720 0.146523 0.856155 
1.480000 -4.850629 0.143827 0.858747 
1.490000 -4.853481 0.141177 0.861294 
1.500000 -4.856283 0.138572 0.863801 
1.510000 -4.859030 0.136014 0.866265 
1.520000 -4.861730 0.133498 0.868692 
1.530000 -4.864376 0.131027 0.871076 
1.540000 -4.866977 0.128597 0.873425 
1.550000 -4.869527 0.126210 0.875731 
1.560000 -4.872033 0.123864 0.878002 
1.570000 -4.874489 0.121559 0.880232 
1.580000 -4.876899 0.119295 0.882425 
1.590000 -4.879267 0.117069 0.884584 
1.600000 -4.881590 0.114883 0.886705 
1.610000 -4.883868 0.112736 0.888789 
1.620000 -4.886106 0.110626 0.890840 
1.630000 -4.888299 0.108554 0.892854 
1.640000 -4.890453 0.106518 0.894835 
1.650000 -4.892566 0.104518 0.896782 
1.660000 -4.894640 0.102554 0.898695 
1.670000 -4.896674 0.100625 0.900574 
1.680000 -4.898671 0.098730 0.902423 
1.690000 -4.900629 0.096869 0.904238 
1.700000 -4.902551 0.095041 0.906023 
1.710000 -4.904436 0.093247 0.907775 
1.720000 -4.906287 0.091484 0.909499 
1.730000 -4.908101 0.089754 0.911190 
1.740000 -4.909881 0.088055 0.912851 
1.750000 -4.911628 0.086386 0.914485 
1.760000 -4.913341 0.084747 0.916089 
1.770000 -4.915022 0.083138 0.917664 
1.780000 -4.916672 0.081558 0.919213 
1.790000 -4.918289 0.080008 0.920733 
1.800000 -4.919876 0.078485 0.922226 
1.810000 -4.921433 0.076991 0.923693 
1.820000 -4.922959 0.075524 0.925133 
1.830000 -4.924457 0.074083 0.926547 
1.840000 -4.925926 0.072669 0.927936 
1.850000 -4.927368 0.071281 0.929300 
1.860000 -4.928782 0.069919 0.930639 
1.870000 -4.930168 0.068581 0.931955 
1.880000 -4.931529 0.067268 0.933247 
1.890000 -4.932863 0.065980 0.934515 
1.900000 -4.934172 0.064715 0.935760 
1.910000 -4.935455 0.063474 0.936982 
1.920000 -4.936714 0.062256 0.938182 
1.930000 -4.937949 0.061061 0.939360 
1.940000 -4.939160 0.059887 0.940517 
1.950000 -4.940348 0.058736 0.941652 
1.960000 -4.941513 0.057606 0.942767 
1.970000 -4.942655 0.056497 0.943861 
1.980000 -4.943776 0.055409 0.944935 
1.990000 -4.944875 0.054341 0.945989 
2.000000 -4.945953 0.053293 0.947024 
2.010000 -4.947010 0.052264 0.948040 
2.020000 -4.948047 0.051255 0.949037 
2.030000 -4.949064 0.050266 0.950015 
2.040000 -4.950061 0.049294 0.950975 
2.050000 -4.951039 0.048341 0.951918 
2.060000 -4.951998 0.047406 0.952843 
2.070000 -4.952938 0.046488 0.953750 
2.080000 -4.953860 0.045588 0.954641 
2.090000 -4.954765 0.044704 0.955516 
2.100000 -4.955652 0.043838 0.956373 
2.110000 -4.956521 0.042988 0.957215 
2.120000 -4.957374 0.042154 0.958040 
2.130000 -4.958210 0.041337 0.958851 
2.140000 -4.959030 0.040534 0.959646 
2.150000 -4.959834 0.039747 0.960426 
2.160000 -4.960622 0.038975 0.961191 
2.170000 -4.961395 0.038217 0.961942 
2.180000 -4.962153 0.037474 0.962679 
2.190000 -4.962897 0.036745 0.963402 
2.200000 -4.963626 0.036030 0.964111 
2.210000 -4.964340 0.035329 0.964807 
2.220000 -4.965041 0.034641 0.965490 
2.230000 -4.965728 0.033966 0.966159 
2.240000 -4.966402 0.033304 0.966816 
2.250000 -4.967063 0.032654 0.967461 
2.260000 -4.967710 0.032018 0.968093 
2.270000 -4.968346 0.031393 0.968713 
2.280000 -4.968969 0.030780 0.969322 
2.290000 -4.969579 0.030179 0.969919 
2.300000 -4.970178 0.029590 0.970505 
2.310000 -4.970765 0.029012 0.971079 
2.320000 -4.971340 0.028445 0.971642 
2.330000 -4.971904 0.027889 0.972194 
2.340000 -4.972458 0.027344 0.972736 
2.350000 -4.973000 0.026809 0.973268 
2.360000 -4.973532 0.026285 0.973789 
2.370000 -4.974053 0.025771 0.974300 
2.380000 -4.974564 0.025266 0.974802 
2.390000 -4.975066 0.024772 0.975294 
2.400000 -4.975557 0.024287 0.975777 
2.410000 -4.976039 0.023811 0.976250 
2.420000 -4.976511 0.023344 0.976714 
2.430000 -4.976975 0.022887 0.977169 
2.440000 -4.977429 0.022438 0.977616 
2.450000 -4.977874 0.021998 0.978054 
2.460000 -4.978311 0.021566 0.978483 
2.470000 -4.978739 0.021143 0.978905 
2.480000 -4.979158 0.020728 0.979318 
2.490000 -4.979570 0.020321 0.979723 
2.500000 -4.979973 0.019922 0.980120 
2.510000 -4.980368 0.019531 0.980510 
2.520000 -4.980756 0.019147 0.980892 
2.530000 -4.981135 0.018771 0.981266 
2.540000 -4.981508 0.018402 0.981633 
2.550000 -4.981873 0.018041 0.981994 
2.560000 -4.982231 0.017686 0.982347 
2.570000 -4.982582 0.017339 0.982693 
2.580000 -4.982926 0.016998 0.983033 
2.590000 -4.983263 0.016663 0.983366 
2.600000 -4.983594 0.016336 0.983692 
2.610000 -4.983917 0.016014 0.984012 
2.620000 -4.984235 0.015699 0.984326 
2.630000 -4.984546 0.015391 0.984634 
2.640000 -4.984852 0.015088 0.984936 
2.650000 -4.985151 0.014791 0.985232 
2.660000 -4.985444 0.014500 0.985522 
2.670000 -4.985732 0.014215 0.985807 
2.680000 -4.986014 0.013935 0.986086 
2.690000 -4.986290 0.013660 0.986359 
2.700000 -4.986561 0.013391 0.986627 
2.710000 -4.986827 0.013127 0.986890 
2.720000 -4.987087 0.012869 0.987148 
2.730000 -4.987342 0.012615 0.987401 
2.740000 -4.987593 0.012367 0.987649 
2.750000 -4.987838 0.012123 0.987892 
2.760000 -4.988079 0.011884 0.988131 
2.770000 -4.988314 0.011650 0.988365 
