FCI gs energy -8.000000 
FCI gs wfn 
0011 -0.288675134595 0.000000000000 I 
0101 0.577350269190 0.000000000000 I 
0110 -0.288675134595 0.000000000000 I 
1001 -0.288675134595 0.000000000000 I 
1010 0.577350269190 0.000000000000 I 
1100 -0.288675134595 0.000000000000 I 
QITE
0.000000 -4.000000 16.000000 0.577350 
0.010000 -4.307111 14.727329 0.599975 
0.020000 -4.589230 13.489345 0.621664 
0.030000 -4.847320 12.312803 0.642413 
0.040000 -5.082783 11.215579 0.662230 
0.050000 -5.297302 10.207805 0.681135 
0.060000 -5.492695 9.293311 0.699154 
0.070000 -5.670811 8.471145 0.716319 
0.080000 -5.833442 7.736982 0.732665 
0.090000 -5.982275 7.084339 0.748224 
0.100000 -6.118853 6.505540 0.763029 
0.110000 -6.243634 5.996234 0.777008 
0.120000 -6.358888 5.543987 0.790305 
0.130000 -6.465670 5.141246 0.802946 
0.140000 -6.564892 4.781095 0.814958 
0.150000 -6.657337 4.457365 0.826364 
0.160000 -6.743671 4.164659 0.837188 
0.170000 -6.824461 3.898343 0.847451 
0.180000 -6.900191 3.654490 0.857174 
0.190000 -6.971271 3.429818 0.866377 
0.200000 -7.038053 3.221617 0.875079 
0.210000 -7.100455 3.029094 0.883252 
0.220000 -7.159169 2.848832 0.890967 
0.230000 -7.214423 2.679409 0.898242 
0.240000 -7.266416 2.519688 0.905095 
0.250000 -7.315332 2.368759 0.911544 
0.260000 -7.361336 2.225895 0.917607 
0.270000 -7.404580 2.090515 0.923302 
0.280000 -7.445206 1.962148 0.928645 
0.290000 -7.483348 1.840405 0.933653 
0.300000 -7.519134 1.724963 0.938343 
0.310000 -7.552412 1.616481 0.942697 
0.320000 -7.583597 1.513694 0.946768 
0.330000 -7.612800 1.416383 0.950572 
0.340000 -7.640126 1.324342 0.954125 
0.350000 -7.665677 1.237374 0.957439 
0.360000 -7.689551 1.155289 0.960530 
0.370000 -7.711843 1.077896 0.963409 
0.380000 -7.732642 1.005011 0.966091 
0.390000 -7.752036 0.936445 0.968586 
0.400000 -7.770108 0.872015 0.970908 
0.410000 -7.786841 0.811859 0.973053 
0.420000 -7.802418 0.755448 0.975046 
0.430000 -7.816911 0.702600 0.976899 
0.440000 -7.830389 0.653135 0.978618 
0.450000 -7.842917 0.606877 0.980215 
0.460000 -7.854556 0.563654 0.981696 
0.470000 -7.865366 0.523301 0.983070 
0.480000 -7.875399 0.485654 0.984344 
0.490000 -7.884710 0.450558 0.985524 
0.500000 -7.893347 0.417863 0.986619 
0.510000 -7.901283 0.387699 0.987623 
0.520000 -7.908643 0.359622 0.988554 
0.530000 -7.915465 0.333502 0.989416 
0.540000 -7.921789 0.309216 0.990214 
0.550000 -7.927647 0.286645 0.990953 
0.560000 -7.933074 0.265680 0.991637 
0.570000 -7.938100 0.246213 0.992271 
0.580000 -7.942753 0.228146 0.992857 
0.590000 -7.947061 0.211384 0.993399 
0.600000 -7.951048 0.195838 0.993900 
0.610000 -7.954721 0.181484 0.994362 
0.620000 -7.958120 0.168180 0.994789 
0.630000 -7.961265 0.155851 0.995184 
0.640000 -7.964174 0.144429 0.995550 
0.650000 -7.966865 0.133850 0.995887 
0.660000 -7.969354 0.124055 0.996200 
0.670000 -7.971654 0.114986 0.996488 
0.680000 -7.973782 0.106592 0.996755 
0.690000 -7.975748 0.098825 0.997002 
0.700000 -7.977566 0.091638 0.997230 
0.710000 -7.979235 0.085036 0.997439 
0.720000 -7.980777 0.078927 0.997632 
0.730000 -7.982203 0.073276 0.997811 
0.740000 -7.983521 0.068050 0.997976 
0.750000 -7.984739 0.063216 0.998128 
0.760000 -7.985865 0.058746 0.998269 
0.770000 -7.986905 0.054614 0.998399 
0.780000 -7.987866 0.050793 0.998520 
0.790000 -7.988754 0.047262 0.998631 
0.800000 -7.989575 0.043998 0.998734 
0.810000 -7.990323 0.041020 0.998827 
0.820000 -7.991015 0.038266 0.998914 
0.830000 -7.991654 0.035720 0.998994 
0.840000 -7.992245 0.033367 0.999068 
0.850000 -7.992791 0.031192 0.999136 
0.860000 -7.993295 0.029181 0.999199 
0.870000 -7.993761 0.027322 0.999258 
0.880000 -7.994192 0.025605 0.999311 
0.890000 -7.994590 0.024017 0.999361 
0.900000 -7.994958 0.022550 0.999407 
0.910000 -7.995298 0.021195 0.999450 
0.920000 -7.995611 0.019942 0.999489 
0.930000 -7.995901 0.018786 0.999525 
0.940000 -7.996169 0.017717 0.999559 
0.950000 -7.996416 0.016730 0.999590 
0.960000 -7.996645 0.015818 0.999618 
0.970000 -7.996856 0.014976 0.999645 
0.980000 -7.997051 0.014197 0.999669 
0.990000 -7.997231 0.013478 0.999691 
1.000000 -7.997397 0.012814 0.999712 
1.010000 -7.997551 0.012198 0.999731 
1.020000 -7.997693 0.011630 0.999749 
1.030000 -7.997824 0.011105 0.999766 
1.040000 -7.997946 0.010621 0.999781 
1.050000 -7.998057 0.010173 0.999795 
1.060000 -7.998161 0.009760 0.999808 
1.070000 -7.998256 0.009379 0.999820 
1.080000 -7.998344 0.009027 0.999831 
1.090000 -7.998426 0.008702 0.999841 
1.100000 -7.998501 0.008402 0.999850 
1.110000 -7.998571 0.008119 0.999859 
1.120000 -7.998636 0.007858 0.999867 
1.130000 -7.998696 0.007618 0.999875 
1.140000 -7.998752 0.007396 0.999882 
1.150000 -7.998803 0.007192 0.999888 
1.160000 -7.998850 0.007004 0.999894 
1.170000 -7.998893 0.006830 0.999899 
1.180000 -7.998933 0.006670 0.999904 
1.190000 -7.998970 0.006523 0.999909 
1.200000 -7.999004 0.006387 0.999913 
1.210000 -7.999035 0.006263 0.999917 
1.220000 -7.999063 0.006148 0.999920 
1.230000 -7.999089 0.006043 0.999924 
1.240000 -7.999113 0.005947 0.999927 
1.250000 -7.999136 0.005858 0.999929 
1.260000 -7.999156 0.005777 0.999932 
1.270000 -7.999175 0.005702 0.999934 
1.280000 -7.999192 0.005633 0.999937 
1.290000 -7.999208 0.005569 0.999939 
1.300000 -7.999223 0.005510 0.999940 
1.310000 -7.999238 0.005452 0.999942 
1.320000 -7.999251 0.005399 0.999944 
1.330000 -7.999263 0.005351 0.999945 
1.340000 -7.999274 0.005306 0.999947 
1.350000 -7.999284 0.005266 0.999948 
1.360000 -7.999293 0.005229 0.999949 
1.370000 -7.999302 0.005195 0.999950 
1.380000 -7.999310 0.005164 0.999951 
1.390000 -7.999317 0.005136 0.999952 
1.400000 -7.999323 0.005110 0.999953 
1.410000 -7.999328 0.005090 0.999954 
1.420000 -7.999333 0.005071 0.999954 
1.430000 -7.999337 0.005055 0.999955 
1.440000 -7.999341 0.005040 0.999955 
1.450000 -7.999344 0.005026 0.999956 
1.460000 -7.999348 0.005013 0.999956 
1.470000 -7.999351 0.005002 0.999956 
1.480000 -7.999354 0.004991 0.999957 
1.490000 -7.999356 0.004981 0.999957 
1.500000 -7.999359 0.004972 0.999957 
1.510000 -7.999362 0.004958 0.999958 
1.520000 -7.999365 0.004946 0.999958 
1.530000 -7.999367 0.004934 0.999958 
1.540000 -7.999370 0.004924 0.999959 
1.550000 -7.999372 0.004916 0.999959 
1.560000 -7.999374 0.004908 0.999959 
1.570000 -7.999376 0.004900 0.999960 
1.580000 -7.999378 0.004894 0.999960 
1.590000 -7.999379 0.004888 0.999960 
1.600000 -7.999381 0.004882 0.999960 
