FCI gs energy -3.333333 
FCI gs wfn 
0011 -0.288675134595 0.000000000000 I 
0101 0.577350269190 0.000000000000 I 
0110 -0.288675134595 0.000000000000 I 
1001 -0.288675134595 0.000000000000 I 
1010 0.577350269190 0.000000000000 I 
1100 -0.288675134595 0.000000000000 I 
QITE
0.000000 -1.333333 4.000000 0.577350 
0.010000 -1.411723 3.840223 0.588779 
0.020000 -1.486938 3.681616 0.599974 
0.030000 -1.559014 3.525239 0.610935 
0.040000 -1.628002 3.371998 0.621658 
0.050000 -1.693974 3.222657 0.632144 
0.060000 -1.757012 3.077836 0.642395 
0.070000 -1.817212 2.938025 0.652411 
0.080000 -1.874678 2.803591 0.662195 
0.090000 -1.929518 2.674791 0.671749 
0.100000 -1.981847 2.551781 0.681078 
0.110000 -2.031717 2.434821 0.690175 
0.120000 -2.079314 2.323705 0.699054 
0.130000 -2.124754 2.218369 0.707719 
0.140000 -2.168151 2.118692 0.716175 
0.150000 -2.209616 2.024514 0.724426 
0.160000 -2.249257 1.935642 0.732476 
0.170000 -2.287177 1.851858 0.740329 
0.180000 -2.323475 1.772926 0.747990 
0.190000 -2.358246 1.698597 0.755463 
0.200000 -2.391578 1.628619 0.762752 
0.210000 -2.423482 1.562892 0.769844 
0.220000 -2.454116 1.500993 0.776760 
0.230000 -2.483552 1.442673 0.783505 
0.240000 -2.511861 1.387688 0.790081 
0.250000 -2.539106 1.335806 0.796492 
0.260000 -2.565346 1.286805 0.802741 
0.270000 -2.590637 1.240472 0.808832 
0.280000 -2.615030 1.196608 0.814767 
0.290000 -2.638572 1.155025 0.820550 
0.300000 -2.661308 1.115548 0.826184 
0.310000 -2.683236 1.078086 0.831662 
0.320000 -2.704437 1.042411 0.836996 
0.330000 -2.724945 1.008383 0.842190 
0.340000 -2.744791 0.975874 0.847246 
0.350000 -2.764003 0.944767 0.852167 
0.360000 -2.782610 0.914955 0.856955 
0.370000 -2.800635 0.886340 0.861613 
0.380000 -2.818102 0.858834 0.866143 
0.390000 -2.835031 0.832355 0.870548 
0.400000 -2.851443 0.806831 0.874830 
0.410000 -2.867341 0.782226 0.878988 
0.420000 -2.882756 0.758448 0.883028 
0.430000 -2.897707 0.735447 0.886952 
0.440000 -2.912207 0.713173 0.890763 
0.450000 -2.926270 0.691584 0.894464 
0.460000 -2.939910 0.670643 0.898055 
0.470000 -2.953139 0.650314 0.901541 
0.480000 -2.965970 0.630568 0.904923 
0.490000 -2.978412 0.611378 0.908202 
0.500000 -2.990478 0.592719 0.911383 
0.510000 -3.002148 0.574617 0.914459 
0.520000 -3.013463 0.557002 0.917440 
0.530000 -3.024432 0.539858 0.920329 
0.540000 -3.035065 0.523168 0.923128 
0.550000 -3.045370 0.506917 0.925839 
0.560000 -3.055355 0.491095 0.928464 
0.570000 -3.065030 0.475687 0.931005 
0.580000 -3.074402 0.460684 0.933465 
0.590000 -3.083480 0.446077 0.935845 
0.600000 -3.092270 0.431855 0.938148 
0.610000 -3.100773 0.418023 0.940374 
0.620000 -3.109005 0.404560 0.942526 
0.630000 -3.116972 0.391458 0.944607 
0.640000 -3.124682 0.378710 0.946618 
0.650000 -3.132141 0.366308 0.948563 
0.660000 -3.139357 0.354247 0.950441 
0.670000 -3.146335 0.342519 0.952256 
0.680000 -3.153083 0.331118 0.954010 
0.690000 -3.159608 0.320037 0.955703 
0.700000 -3.165914 0.309271 0.957338 
0.710000 -3.171993 0.298841 0.958912 
0.720000 -3.177866 0.288712 0.960432 
0.730000 -3.183541 0.278878 0.961898 
0.740000 -3.189023 0.269334 0.963314 
0.750000 -3.194318 0.260074 0.964679 
0.760000 -3.199431 0.251091 0.965997 
0.770000 -3.204368 0.242379 0.967268 
0.780000 -3.209134 0.233933 0.968494 
0.790000 -3.213734 0.225747 0.969676 
0.800000 -3.218174 0.217814 0.970816 
0.810000 -3.222453 0.210140 0.971914 
0.820000 -3.226581 0.202707 0.972972 
0.830000 -3.230563 0.195510 0.973991 
0.840000 -3.234404 0.188543 0.974974 
0.850000 -3.238109 0.181800 0.975921 
0.860000 -3.241681 0.175275 0.976834 
0.870000 -3.245126 0.168963 0.977714 
0.880000 -3.248447 0.162859 0.978561 
0.890000 -3.251648 0.156957 0.979377 
0.900000 -3.254734 0.151251 0.980163 
0.910000 -3.257704 0.145743 0.980919 
0.920000 -3.260567 0.140420 0.981648 
0.930000 -3.263325 0.135277 0.982349 
0.940000 -3.265982 0.130309 0.983024 
0.950000 -3.268543 0.125511 0.983674 
0.960000 -3.271009 0.120878 0.984300 
0.970000 -3.273384 0.116405 0.984903 
0.980000 -3.275672 0.112087 0.985483 
0.990000 -3.277876 0.107920 0.986042 
1.000000 -3.279997 0.103898 0.986579 
1.010000 -3.282035 0.100028 0.987095 
1.020000 -3.283997 0.096295 0.987591 
1.030000 -3.285886 0.092694 0.988069 
1.040000 -3.287704 0.089221 0.988529 
1.050000 -3.289455 0.085871 0.988971 
1.060000 -3.291140 0.082642 0.989397 
1.070000 -3.292762 0.079529 0.989806 
1.080000 -3.294323 0.076528 0.990201 
1.090000 -3.295825 0.073635 0.990580 
1.100000 -3.297270 0.070848 0.990944 
1.110000 -3.298660 0.068164 0.991295 
1.120000 -3.299998 0.065578 0.991632 
1.130000 -3.301284 0.063087 0.991956 
1.140000 -3.302522 0.060687 0.992268 
1.150000 -3.303714 0.058375 0.992568 
1.160000 -3.304860 0.056148 0.992857 
1.170000 -3.305962 0.054004 0.993134 
1.180000 -3.307022 0.051939 0.993401 
1.190000 -3.308042 0.049951 0.993658 
1.200000 -3.309024 0.048036 0.993904 
1.210000 -3.309968 0.046192 0.994142 
1.220000 -3.310876 0.044417 0.994370 
1.230000 -3.311749 0.042708 0.994590 
1.240000 -3.312589 0.041064 0.994801 
1.250000 -3.313397 0.039481 0.995004 
1.260000 -3.314173 0.037957 0.995199 
1.270000 -3.314920 0.036491 0.995386 
1.280000 -3.315638 0.035081 0.995567 
1.290000 -3.316329 0.033723 0.995740 
1.300000 -3.316993 0.032417 0.995907 
1.310000 -3.317630 0.031163 0.996066 
1.320000 -3.318242 0.029957 0.996220 
1.330000 -3.318831 0.028797 0.996368 
1.340000 -3.319397 0.027681 0.996510 
1.350000 -3.319941 0.026607 0.996646 
1.360000 -3.320464 0.025574 0.996778 
1.370000 -3.320967 0.024581 0.996904 
1.380000 -3.321451 0.023625 0.997025 
1.390000 -3.321916 0.022706 0.997142 
1.400000 -3.322363 0.021822 0.997254 
1.410000 -3.322790 0.020977 0.997361 
1.420000 -3.323200 0.020165 0.997463 
1.430000 -3.323595 0.019384 0.997562 
1.440000 -3.323974 0.018632 0.997657 
1.450000 -3.324339 0.017909 0.997749 
1.460000 -3.324689 0.017215 0.997837 
1.470000 -3.325026 0.016546 0.997921 
1.480000 -3.325350 0.015904 0.998002 
1.490000 -3.325661 0.015286 0.998080 
1.500000 -3.325961 0.014692 0.998155 
1.510000 -3.326249 0.014120 0.998227 
1.520000 -3.326526 0.013570 0.998297 
1.530000 -3.326792 0.013041 0.998363 
1.540000 -3.327048 0.012532 0.998427 
1.550000 -3.327294 0.012044 0.998489 
1.560000 -3.327530 0.011574 0.998548 
1.570000 -3.327757 0.011122 0.998605 
1.580000 -3.327975 0.010688 0.998660 
1.590000 -3.328185 0.010270 0.998712 
1.600000 -3.328387 0.009869 0.998763 
